org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
기아,,4.55 (2%),8.61 (2%),,8.93 (3%),3.65 (2%),,4.47 (3%),,,3.94 (1%),8.21 (5%),,4.55 (2%)
네이버,,5.31 (2%),8.61 (2%),3.53 (1%),7.44 (3%),,3.79 (2%),4.47 (3%),3.59 (2%),,,,,3.79 (1%)
마이크로소프트,,0.76 (0%),2.15 (1%),,2.23 (1%),2.19 (1%),2.28 (1%),,2.15 (1%),,,0.82 (0%),,0.76 (0%)
메타,,17.45 (7%),9.33 (2%),6.35 (3%),4.47 (2%),3.65 (2%),10.62 (4%),5.21 (3%),,,,4.93 (3%),,
벤츠,3.40 (2%),,4.10 (1%),,3.40 (1%),,6.94 (2%),7.66 (4%),4.92 (2%),,2.70 (1%),3.75 (2%),,
비보,,4.55 (2%),4.31 (1%),3.53 (1%),2.98 (1%),,,,,8.61 (4%),6.31 (2%),,4.10 (2%),3.79 (1%)
삼성디스플레이,,17.45 (7%),41.63 (10%),,32.01 (11%),22.66 (11%),16.69 (7%),,,20.82 (9%),44.15 (13%),,,67.51 (24%)
삼성전자,,34.13 (13%),59.58 (15%),52.90 (22%),47.64 (17%),32.89 (15%),,,,38.76 (16%),52.83 (16%),,,51.58 (18%)
샤오미,,7.59 (3%),6.46 (2%),,4.47 (2%),4.39 (2%),,,,13.64 (6%),9.46 (3%),,5.75 (3%),5.31 (2%)
소니,,0.76 (0%),2.15 (1%),,2.23 (1%),2.92 (1%),3.03 (1%),,2.15 (1%),1.44 (1%),,0.82 (0%),,
아마존,,4.15 (1%),4.71 (1%),3.08 (1%),2.44 (1%),,2.49 (1%),2.44 (1%),,,,3.59 (2%),1.79 (1%),
아이씨디,,1.93 (1%),6.40 (1%),,,2.79 (1%),1.93 (1%),,,2.74 (1%),4.02 (1%),,2.09 (1%),1.93 (1%)
애플,,93.90 (15%),64.18 (7%),48.50 (9%),49.49 (8%),43.56 (9%),,,,72.41 (13%),63.26 (8%),39.52 (10%),,
엔비디아,0.74 (1%),,0.72 (0%),4.23 (2%),,,,1.49 (1%),1.44 (1%),0.72 (0%),,,0.82 (0%),
오포,,4.55 (2%),5.02 (1%),4.23 (2%),3.72 (1%),,,,,12.92 (5%),8.67 (3%),,4.10 (2%),4.55 (2%)
원익IPS,2.98 (2%),,2.87 (1%),8.46 (3%),,,1.52 (1%),2.98 (2%),5.74 (3%),,,4.93 (3%),2.46 (1%),
인텔,,3.68 (1%),5.22 (1%),3.42 (1%),2.71 (1%),1.77 (1%),2.76 (1%),,,,0.96 (0%),1.99 (1%),,
카카오,8.93 (6%),5.31 (2%),10.77 (3%),,8.19 (3%),6.58 (3%),7.59 (3%),,,,5.52 (2%),6.57 (4%),,
퀄컴,2.98 (2%),7.59 (3%),5.74 (1%),8.46 (3%),2.98 (1%),2.92 (1%),4.55 (2%),,,,,6.57 (4%),,
폭스바겐,1.49 (1%),2.28 (1%),2.87 (1%),2.82 (1%),,2.19 (1%),3.03 (1%),1.49 (1%),2.15 (1%),,,,,
하이센스,,1.52 (1%),2.15 (1%),,2.23 (1%),2.92 (1%),,,,3.59 (1%),4.73 (1%),,1.64 (1%),2.28 (1%)
한미반도체,0.74 (1%),,0.72 (0%),4.23 (2%),,,,1.49 (1%),1.44 (1%),0.72 (0%),,,0.82 (0%),
한화,1.46 (1%),,,2.76 (1%),,,2.97 (1%),1.46 (0%),9.84 (3%),,,,1.61 (0%),
현대모비스,,2.28 (1%),7.18 (2%),,6.70 (2%),,,2.23 (1%),2.87 (1%),,2.37 (1%),2.46 (1%),,3.79 (1%)
현대차,,16.67 (4%),25.92 (4%),11.07 (3%),19.87 (5%),,,,10.14 (3%),,13.62 (3%),15.47 (6%),,19.05 (4%)
화웨이,,2.28 (1%),5.02 (1%),2.12 (1%),1.49 (1%),1.46 (1%),1.52 (1%),,,,2.37 (1%),,,6.83 (2%)
