org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
HP,9.09 (0%),27.23 (1%),96.35 (2%),52.68 (1%),94.96 (1%),70.39 (3%),26.53 (1%),3.05 (0%)
Harman,2.80 (0%),5.89 (0%),6.93 (0%),5.55 (0%),8.32 (0%),,3.58 (0%),1.53 (0%)
IEC,6.29 (0%),5.89 (0%),13.17 (0%),6.24 (0%),12.48 (0%),4.00 (0%),6.45 (0%),7.63 (0%)
IEEE,1.40 (0%),2.94 (0%),4.16 (0%),2.08 (0%),4.85 (0%),,2.15 (0%),1.53 (0%)
IMID,5.59 (0%),,38.82 (1%),10.40 (0%),36.74 (1%),8.00 (0%),13.62 (0%),
ITU,0.70 (0%),0.74 (0%),3.47 (0%),1.39 (0%),2.77 (0%),,2.15 (0%),0.76 (0%)
IoT,34.25 (1%),45.63 (2%),81.10 (1%),41.59 (1%),97.04 (1%),11.20 (1%),49.47 (2%),51.89 (2%)
JDI,3.49 (0%),7.36 (0%),10.40 (0%),16.64 (0%),21.49 (0%),7.20 (0%),4.30 (0%),1.53 (0%)
KAIST,6.29 (0%),4.42 (0%),24.95 (0%),11.09 (0%),31.19 (0%),4.80 (0%),12.19 (0%),3.05 (0%)
LG디스플레이,93.66 (3%),108.19 (4%),506.00 (9%),474.81 (9%),593.33 (9%),225.58 (11%),327.65 (12%),99.96 (5%)
LG전자,229.95 (9%),271.57 (10%),506.00 (9%),389.55 (7%),537.88 (8%),131.99 (6%),301.84 (11%),847.71 (39%)
LG화학,28.66 (1%),31.65 (1%),53.37 (1%),40.20 (1%),97.73 (1%),7.20 (0%),30.83 (1%),29.76 (1%)
MWC,2.80 (0%),4.42 (0%),4.85 (0%),8.32 (0%),5.55 (0%),2.40 (0%),1.43 (0%),
Merck,0.70 (0%),,5.55 (0%),2.08 (0%),4.85 (0%),2.40 (0%),1.43 (0%),
SEMI,,0.74 (0%),,2.08 (0%),3.47 (0%),,,
SID,5.59 (0%),,126.85 (2%),28.42 (1%),98.43 (1%),25.60 (1%),167.77 (6%),1.53 (0%)
SK하이닉스,80.38 (3%),80.96 (3%),121.99 (2%),104.67 (2%),237.06 (3%),15.20 (1%),75.28 (3%),28.23 (1%)
Semiconductor,4.89 (0%),4.42 (0%),8.32 (0%),5.55 (0%),13.17 (0%),,5.02 (0%),2.29 (0%)
TCL,67.80 (3%),36.06 (1%),121.30 (2%),147.64 (3%),108.13 (2%),34.40 (2%),41.58 (1%),86.22 (4%)
TSMC,11.18 (0%),13.98 (1%),13.86 (0%),21.49 (0%),27.03 (0%),2.40 (0%),5.74 (0%),0.76 (0%)
Tianma,0.70 (0%),2.21 (0%),13.86 (0%),33.27 (1%),24.95 (0%),11.20 (1%),0.72 (0%),1.53 (0%)
Toray,0.70 (0%),,2.08 (0%),2.08 (0%),3.47 (0%),,2.15 (0%),
UDC,1.40 (0%),,1.39 (0%),3.47 (0%),1.39 (0%),1.60 (0%),,0.76 (0%)
UL,3.49 (0%),3.68 (0%),8.32 (0%),8.32 (0%),7.62 (0%),3.20 (0%),4.30 (0%),6.87 (0%)
V2X,16.08 (1%),10.30 (0%),23.57 (0%),23.57 (0%),42.28 (1%),4.80 (0%),12.19 (0%),5.34 (0%)
Visionox,4.89 (0%),8.83 (0%),27.73 (0%),40.20 (1%),46.44 (1%),13.60 (1%),5.74 (0%),1.53 (0%)
구글,88.16 (3%),81.22 (2%),176.54 (3%),131.14 (2%),171.49 (2%),24.25 (1%),69.56 (2%),43.49 (2%)
기아,45.43 (2%),37.53 (1%),99.12 (2%),64.46 (1%),121.30 (2%),28.00 (1%),38.72 (1%),18.31 (1%)
네이버,44.03 (2%),47.10 (2%),128.93 (2%),90.80 (2%),116.45 (2%),32.00 (2%),44.45 (2%),32.05 (1%)
니오,1.40 (0%),,3.47 (0%),,0.69 (0%),,0.72 (0%),
도우인시스,0.70 (0%),0.74 (0%),3.47 (0%),1.39 (0%),2.77 (0%),,1.43 (0%),0.76 (0%)
두산로보틱스,10.48 (0%),11.04 (0%),4.85 (0%),4.16 (0%),13.17 (0%),0.80 (0%),3.58 (0%),9.16 (0%)
디지타임스,2.10 (0%),2.94 (0%),9.01 (0%),13.17 (0%),13.86 (0%),2.40 (0%),2.87 (0%),
레노버,2.10 (0%),1.47 (0%),9.01 (0%),15.25 (0%),9.01 (0%),6.40 (0%),1.43 (0%),1.53 (0%)
리벨리온,6.29 (0%),3.68 (0%),2.77 (0%),2.08 (0%),2.77 (0%),,0.72 (0%),1.53 (0%)
리오토,1.40 (0%),,1.39 (0%),3.47 (0%),1.39 (0%),1.60 (0%),,0.76 (0%)
마이크로소프트,22.37 (1%),25.76 (1%),34.66 (1%),44.36 (1%),53.37 (1%),5.60 (0%),21.51 (1%),9.16 (0%)
메타,27.96 (1%),36.80 (1%),61.69 (1%),67.24 (1%),86.64 (1%),6.40 (0%),32.26 (1%),11.45 (1%)
미디어텍,4.89 (0%),7.36 (0%),8.32 (0%),4.85 (0%),7.62 (0%),,3.58 (0%),2.29 (0%)
바이두,1.40 (0%),0.74 (0%),0.69 (0%),2.08 (0%),1.39 (0%),,0.72 (0%),
벤츠,6.99 (0%),2.94 (0%),16.64 (0%),6.24 (0%),11.09 (0%),4.00 (0%),6.45 (0%),3.05 (0%)
비보,6.29 (0%),16.93 (1%),15.94 (0%),62.38 (1%),23.57 (0%),10.40 (1%),2.87 (0%),3.05 (0%)
삼성디스플레이,150.27 (6%),158.23 (6%),558.68 (10%),469.95 (9%),589.87 (9%),363.16 (18%),214.37 (8%),63.33 (3%)
삼성전자,1047.93 (29%),1067.32 (28%),884.29 (12%),837.06 (11%),1136.55 (12%),389.23 (14%),437.79 (12%),293.28 (10%)
샤오미,30.75 (1%),49.31 (2%),71.39 (1%),142.79 (3%),81.79 (1%),24.00 (1%),21.51 (1%),35.86 (2%)
샤오펑,2.10 (0%),2.94 (0%),4.16 (0%),4.16 (0%),4.85 (0%),0.80 (0%),2.15 (0%),3.05 (0%)
샤프,3.49 (0%),4.42 (0%),9.70 (0%),15.25 (0%),8.32 (0%),4.80 (0%),2.87 (0%),3.82 (0%)
선익시스템,1.40 (0%),1.47 (0%),18.02 (0%),12.48 (0%),31.88 (0%),3.20 (0%),10.75 (0%),4.58 (0%)
세미파이브,2.10 (0%),2.21 (0%),2.08 (0%),3.47 (0%),4.85 (0%),1.60 (0%),,0.76 (0%)
소니,9.79 (0%),8.10 (0%),20.79 (0%),18.02 (0%),22.87 (0%),7.20 (0%),7.89 (0%),11.45 (1%)
아마존,19.57 (1%),16.19 (1%),31.19 (1%),27.73 (1%),33.27 (0%),3.20 (0%),15.06 (1%),8.39 (0%)
아이씨디,2.10 (0%),2.94 (0%),19.41 (0%),12.48 (0%),40.90 (1%),3.20 (0%),12.91 (0%),3.05 (0%)
알파벳,10.48 (0%),10.30 (0%),7.62 (0%),24.26 (0%),20.10 (0%),,2.87 (0%),
애플,224.11 (7%),247.69 (7%),475.88 (7%),856.76 (13%),553.07 (7%),178.17 (7%),129.86 (4%),96.18 (4%)
엔비디아,60.74 (2%),57.91 (2%),81.40 (1%),93.61 (1%),125.36 (2%),20.67 (1%),42.10 (1%),18.82 (1%)
오포,9.79 (0%),12.51 (0%),19.41 (0%),56.84 (1%),27.03 (0%),12.80 (1%),2.87 (0%),3.05 (0%)
원익IPS,6.29 (0%),10.30 (0%),24.26 (0%),15.25 (0%),55.45 (1%),3.20 (0%),17.21 (1%),3.82 (0%)
인텔,27.26 (1%),41.95 (2%),99.81 (2%),63.77 (1%),110.90 (2%),48.79 (2%),32.98 (1%),13.73 (1%)
카카오,17.47 (1%),23.55 (1%),45.75 (1%),27.03 (0%),50.60 (1%),6.40 (0%),30.11 (1%),47.31 (2%)
퀄컴,52.87 (2%),51.11 (1%),71.34 (1%),71.34 (1%),103.14 (1%),7.94 (0%),30.23 (1%),18.92 (1%)
텐센트,2.80 (0%),1.47 (0%),1.39 (0%),4.85 (0%),2.77 (0%),,0.72 (0%),
폭스바겐,11.88 (0%),7.36 (0%),29.11 (1%),13.17 (0%),27.73 (0%),3.20 (0%),15.77 (1%),6.87 (0%)
하이센스,40.54 (2%),27.23 (1%),67.24 (1%),76.25 (1%),65.16 (1%),15.20 (1%),29.40 (1%),69.43 (3%)
하이얼,6.99 (0%),5.15 (0%),17.33 (0%),15.25 (0%),14.56 (0%),0.80 (0%),7.89 (0%),8.39 (0%)
한미반도체,16.08 (1%),19.14 (1%),25.65 (0%),18.02 (0%),61.00 (1%),1.60 (0%),19.36 (1%),0.76 (0%)
한화,18.17 (1%),10.30 (0%),18.02 (0%),27.73 (1%),36.04 (1%),4.00 (0%),8.60 (0%),5.34 (0%)
한화솔루션,2.80 (0%),1.47 (0%),5.55 (0%),4.85 (0%),13.17 (0%),0.80 (0%),4.30 (0%),
한화시스템,4.19 (0%),5.15 (0%),9.01 (0%),5.55 (0%),20.10 (0%),0.80 (0%),5.02 (0%),0.76 (0%)
현대모비스,45.85 (1%),46.98 (1%),78.65 (1%),36.87 (0%),138.87 (1%),9.93 (0%),87.71 (2%),66.29 (2%)
현대자동차,18.87 (1%),20.61 (1%),34.66 (1%),22.87 (0%),45.75 (1%),8.00 (0%),20.07 (1%),11.45 (1%)
현대차,94.36 (4%),55.93 (2%),126.15 (2%),90.80 (2%),160.81 (2%),28.00 (1%),53.77 (2%),28.23 (1%)
화웨이,31.19 (1%),35.44 (1%),50.47 (1%),87.10 (1%),56.98 (1%),14.09 (1%),20.21 (1%),7.17 (0%)
