org,topic_0,topic_1,topic_10,topic_11,topic_12,topic_13,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
미디어텍,,6.59 (2%),,0.92 (1%),,2.24 (1%),2.16 (1%),4.31 (1%),,,,1.55 (1%),6.47 (2%),2.20 (1%)
삼성디스플레이,28.26 (9%),21.96 (5%),18.68 (5%),,14.24 (5%),,,25.15 (6%),,,15.66 (6%),16.28 (6%),12.21 (4%),
삼성전자,40.38 (13%),59.28 (15%),52.45 (15%),,57.75 (20%),,,56.04 (13%),,,45.49 (17%),51.95 (20%),45.26 (14%),
샤오미,,,2.16 (1%),,6.33 (2%),3.73 (1%),2.16 (1%),,,,6.71 (3%),6.20 (2%),2.16 (1%),2.93 (1%)
샤프,4.85 (2%),2.93 (1%),7.90 (2%),1.85 (1%),6.33 (2%),,,4.31 (1%),,,3.73 (1%),2.33 (1%),,
선익시스템,0.81 (0%),3.66 (1%),,,,,0.72 (0%),4.31 (1%),0.82 (1%),,0.75 (0%),,0.72 (0%),
소니,2.42 (1%),2.93 (1%),,,6.33 (2%),,2.16 (1%),,,2.91 (2%),2.98 (1%),3.88 (1%),,5.12 (2%)
아마존,0.81 (0%),,,,,,,,,,,,,
아이씨디,3.23 (1%),8.78 (2%),1.44 (0%),,1.58 (1%),,1.44 (1%),9.34 (2%),,,2.98 (1%),,3.59 (1%),
애플,70.26 (23%),,31.61 (9%),,28.48 (10%),30.58 (10%),,30.18 (7%),,,26.10 (10%),30.24 (12%),,33.67 (11%)
엔비디아,1.62 (1%),,0.72 (0%),,,2.24 (1%),0.72 (0%),,1.65 (1%),,,,1.44 (0%),4.39 (1%)
오포,,0.73 (0%),0.72 (0%),,1.58 (1%),0.75 (0%),,0.72 (0%),,,1.49 (1%),3.88 (1%),,0.73 (0%)
원익IPS,2.42 (1%),9.51 (2%),1.44 (0%),,,,1.44 (1%),8.62 (2%),0.82 (1%),,2.24 (1%),,2.16 (1%),
카카오,,6.59 (2%),,,,5.22 (2%),2.16 (1%),6.47 (2%),,1.94 (1%),,2.33 (1%),8.62 (3%),5.85 (2%)
퀄컴,,6.59 (2%),,1.85 (1%),,3.73 (1%),2.16 (1%),4.31 (1%),,,,5.43 (2%),6.47 (2%),2.20 (1%)
하이센스,3.23 (1%),,3.59 (1%),,10.28 (4%),2.98 (1%),2.87 (1%),,,,8.95 (3%),3.88 (1%),,3.66 (1%)
하이얼,,,1.44 (0%),,4.75 (2%),2.98 (1%),2.16 (1%),,,,5.22 (2%),2.33 (1%),2.16 (1%),2.20 (1%)
한미반도체,,12.44 (3%),2.16 (1%),,,2.24 (1%),2.87 (1%),8.62 (2%),,,2.24 (1%),,7.90 (2%),2.20 (1%)
한화시스템,,5.85 (1%),,,,2.98 (1%),1.44 (1%),5.75 (1%),1.65 (1%),,,1.55 (1%),6.47 (2%),2.93 (1%)
현대모비스,,12.44 (3%),20.12 (6%),,,15.66 (5%),10.78 (5%),14.37 (3%),10.72 (7%),,,,13.65 (4%),8.05 (3%)
현대자동차,,3.66 (1%),,2.77 (2%),3.16 (1%),,,3.59 (1%),4.12 (3%),3.88 (3%),,,2.87 (1%),3.66 (1%)
현대차,,18.30 (5%),,,,10.44 (3%),,18.68 (4%),7.42 (5%),,5.97 (2%),6.98 (3%),15.81 (5%),10.98 (4%)
화웨이,1.62 (1%),,,,1.58 (1%),2.24 (1%),,,,0.97 (1%),2.24 (1%),3.10 (1%),2.16 (1%),2.93 (1%)
