org,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
오포,,,,4.10 (1%),10.69 (1%),15.73 (3%),,8.55 (1%)
인텔,,6.41 (1%),7.44 (2%),8.89 (1%),7.13 (1%),6.15 (1%),1.02 (1%),5.70 (1%)
카카오,12.84 (4%),22.29 (4%),19.94 (4%),21.39 (2%),7.96 (1%),2.29 (0%),2.27 (2%),9.55 (1%)
퀄컴,2.87 (1%),7.84 (2%),11.16 (2%),12.31 (2%),3.56 (0%),5.47 (1%),2.04 (2%),4.28 (1%)
폭스바겐,,3.56 (1%),0.74 (0%),4.10 (1%),,1.37 (0%),,1.43 (0%)
하이센스,,,,1.37 (0%),4.99 (1%),4.10 (1%),,2.85 (0%)
하이얼,1.92 (1%),4.99 (1%),0.74 (0%),2.74 (0%),2.14 (0%),2.05 (0%),1.02 (1%),2.14 (0%)
한미반도체,1.92 (1%),3.56 (1%),6.70 (1%),6.15 (1%),2.14 (0%),2.05 (0%),,1.43 (0%)
한화,,,2.98 (1%),2.74 (0%),2.85 (0%),2.74 (0%),,2.85 (0%)
한화솔루션,0.96 (0%),4.28 (1%),6.70 (1%),5.47 (1%),3.56 (0%),0.68 (0%),1.02 (1%),2.85 (0%)
한화시스템,,5.70 (1%),6.70 (1%),6.84 (1%),2.85 (0%),1.37 (0%),,2.85 (0%)
현대모비스,3.83 (1%),19.95 (4%),26.04 (6%),30.09 (4%),15.68 (2%),8.89 (2%),1.02 (1%),12.83 (2%)
현대자동차,7.66 (3%),9.98 (2%),9.67 (2%),8.89 (1%),4.28 (1%),1.37 (0%),2.04 (2%),4.28 (1%)
현대차,9.58 (4%),20.66 (4%),24.55 (5%),36.93 (5%),22.09 (3%),11.63 (2%),1.02 (1%),19.95 (3%)
화웨이,,0.71 (0%),0.74 (0%),5.47 (1%),5.70 (1%),6.15 (1%),,6.41 (1%)
